Deutsche;Castellano
ich;yo
sie;ella
das;el
ist;es
du;tú
nicht;no
die;el
es;él
und;y
der;el
wir;nosotros
was;Qué
zu;a
er;él
ein;a
in;en
ja;Sí
mir;a mí
mit;con
wie;Cómo
den;el
mich;a mí
auf;en
dass;eso
aber;pero
eine;uno
so;entonces
hat;tiene
hier;aquí
haben;tener
für;para
sind;son
war;era
von;de
wenn;si
dich;tú
ihr;su
nein;No
habe;tener
an;a
bin;soy
noch;aún
nur;solo
da;allá
dir;tú
sich;sí mismo
einen;a
uns;a nosotros
hast;tener
dem;dem
kann;poder
gut;bien
auch;también
schon;ya
als;como
sein;ser
mal;justo
jetzt;ahora
ihn;a él
dann;entonces
aus;fuera de
meine;mío
um;a
im;en el
wird;se convierte
mein;mi
bist;son
doch;pero
alles;todo
weiß;blanco
keine;No
oder;o
nach;después
nichts;nada
man;uno
muss;debe
werden;convertirse
will;quiere
ihnen;a ellos
geht;va
wo;dónde
etwas;algo
oh;Oh
mehr;más
bei;en
also;entonces
bitte;por favor
immer;siempre
hab;tener
warum;Por qué
vor;antes
los;ir
können;poder
wieder;de nuevo
sagen;decir
machen;hacer
danke;Gracias
sehr;muy
alle;todo
denn;porque
mann;hombre
tun;hacer
ihm;a él
zum;Para el
gehen;ir
sehen;ver
vielleicht;tal vez
einem;a
wer;OMS
ihre;su
diese;este
euch;tú
einer;uno
komm;venir
über;arriba
gibt;da
okay;DE ACUERDO
wissen;conocimiento
deine;su
müssen;debe
soll;debería
werde;convertirse
nie;nunca
wirklich;en realidad
hey;ey
kein;No
viel;mucho
weg;lejos
würde;quería
tut;hace
am;en
des;del
einfach;simplemente
leben;vida
hatte;tenía
zeit;tiempo
weil;porque
willst;desear
kommen;venir
dein;su
heute;hoy
kommt;llega
wollen;desear
damit;con él
ganz;bastante
wäre;eran
wollte;buscado
weißt;saber
ok;ajá
sicher;seguro
gesagt;dicho
frau;mujer
nun;entonces
bis;hasta
wurde;convertirse
leid;pena
na;qué
kannst;poder
macht;podría
dieser;este
zurück;atrás
lassen;dejar
hallo;Hola
meinen;significar
gott;Dios
seine;su
hätte;habría
zwei;dos
könnte;podría
genau;Exactamente
waren;eran
zur;a
lass;dejar
klar;claro
morgen;mañana
leute;gente
vater;padre
schön;lindo
glaube;creer
mr.;Señor.
ab;lejos
gerade;derecho
tag;día
gesehen;visto
reden;hablar
wohl;probablemente
liebe;amar
sollte;debería
sagte;dicho
unsere;nuestro
jemand;alguien
geld;dinero
durch;a través de
ob;si
keinen;ninguno
mutter;madre
raus;afuera
gemacht;hecho
paar;pareja
mach;hacer
passiert;sucedió
dachte;pensamiento
besser;mejor
musst;debe
wieso;Cómo
sir;Señor
dieses;este
selbst;sí mismo
gehört;escuchó
möchte;desear
ohne;sin
hör;escuchar
her;aquí
sag;decir
meiner;mío
anderen;otros
helfen;ayuda
nacht;noche
finden;encontrar
diesen;este
gute;bien
wirst;voluntad
lange;largo
natürlich;naturalmente
ach;Oh
meinem;mi
gar;incluso
ins;En el
sei;ser
dort;allá
weiter;más
geben;dar
seit;desde
gleich;incluso
sagt;dice
recht;bien
ihren;su
richtig;correcto
ordnung;orden
vom;desde
hören;escuchar
sieht;ve
davon;de eso
dafür;Para eso
geh;ir
diesem;este
wegen;debido a
hause;hogar
sollten;debería
mädchen;chica
hin;allá
sollen;debería
abend;noche
haus;una casa
denke;pensar
viele;muchos
drei;tres
deinen;su
freund;amigo
guten;bien
unser;nuestro
warte;esperar
machst;hacer
menschen;gente
essen;comer
angst;miedo
bleiben;permanecer
zusammen;juntos
welt;mundo
unter;bajo
habt;tener
schnell;rápido
andere;otro
tot;muerto
getan;hizo
darf;puede
erst;primero
rein;puro
stimmt;VERDADERO
nehmen;llevar
kinder;niños
eines;uno
glauben;creer
bringen;traer
ganze;entero
genug;suficiente
scheiße;mierda
brauchen;necesidad
gegen;contra
moment;momento
junge;chico
steht;se encuentra
sonst;de lo contrario
musik;música
arbeit;trabajar
seid;son
ihrer;su
fragen;preguntas
herr;Señor
dabei;incluido
heißt;se llama
familie;familia
warten;esperar
niemand;nadie
sofort;inmediatamente
bevor;antes
jahre;años
einmal;una vez
problem;problema
sohn;hijo
wann;Cuando
brauche;necesidad
fertig;completo
halt;detener
allein;solo
beim;al
sprechen;hablar
beide;ambos
gefunden;encontró
hatten;tenía
sache;asunto
hilfe;ayuda
verdammt;maldito
ne;No
jeder;todos
warst;eran
gern;con alegría
konnte;podría
darüber;al respecto
